platform,source,date,post_time,day_of_week,is_weekend,content_type,hashtags,likes,comments,shares,views,engagement_rate,engagement_level
Twitter,sentiment_dataset,2023-01-15,12.0,6.0,1,, #Nature #Park                            ,30,,15,,,
Twitter,sentiment_dataset,2023-01-15,8.0,6.0,1,, #Traffic #Morning                        ,10,,5,,,
Instagram,sentiment_dataset,2023-01-15,15.0,6.0,1,, #Fitness #Workout                        ,40,,20,,,
Facebook,sentiment_dataset,2023-01-15,18.0,6.0,1,, #Travel #Adventure                       ,15,,8,,,
Instagram,sentiment_dataset,2023-01-15,19.0,6.0,1,, #Cooking #Food                           ,25,,12,,,
Twitter,sentiment_dataset,2023-01-16,9.0,0.0,0,, #Gratitude #PositiveVibes              ,50,,25,,,
Facebook,sentiment_dataset,2023-01-16,14.0,0.0,0,, #RainyDays #Cozy                         ,20,,10,,,
Instagram,sentiment_dataset,2023-01-16,19.0,0.0,0,, #MovieNight #MustWatch                  ,30,,15,,,
Twitter,sentiment_dataset,2023-01-17,8.0,1.0,0,, #Politics #Debate                       ,60,,30,,,
Facebook,sentiment_dataset,2023-01-17,12.0,1.0,0,, #Summer #BeachDays                      ,35,,18,,,
Instagram,sentiment_dataset,2023-01-17,15.0,1.0,0,, #Blogging #NewPost                      ,45,,22,,,
Twitter,sentiment_dataset,2023-01-18,10.0,2.0,0,, #SickDay #Health                        ,15,,7,,,
Facebook,sentiment_dataset,2023-01-18,14.0,2.0,0,, #CityExplore #HiddenGems                ,25,,12,,,
Instagram,sentiment_dataset,2023-01-18,18.0,2.0,0,, #NewYear #FitnessGoals                  ,55,,28,,,
Twitter,sentiment_dataset,2023-01-19,9.0,3.0,0,, #Tech #Innovation                       ,30,,15,,,
Facebook,sentiment_dataset,2023-01-19,13.0,3.0,0,, #Reflection #Future                     ,40,,20,,,
Instagram,sentiment_dataset,2023-01-19,17.0,3.0,0,, #PetAdoption #FurryFriend               ,30,,15,,,
Twitter,sentiment_dataset,2023-01-20,0.0,4.0,0,, #Gaming #LateNight                      ,35,,18,,,
Facebook,sentiment_dataset,2023-01-20,11.0,4.0,0,, #AI #TechConference                     ,50,,25,,,
Instagram,sentiment_dataset,2023-01-20,15.0,4.0,0,, #WinterBlues #Mood                      ,15,,8,,,
Twitter,sentiment_dataset,2023-01-21,8.0,5.0,1,, #Reading #CoffeeTime                    ,45,,22,,,
Facebook,sentiment_dataset,2023-01-21,13.0,5.0,1,, #VR #VirtualReality                     ,30,,15,,,
Instagram,sentiment_dataset,2023-01-21,16.0,5.0,1,, #Productivity #WorkFromHome           ,60,,30,,,
Twitter,sentiment_dataset,2023-01-22,9.0,6.0,1,, #Fitness #ChallengeAccepted             ,40,,20,,,
Facebook,sentiment_dataset,2023-01-22,14.0,6.0,1,, #Career #Milestone                      ,25,,12,,,
Instagram,sentiment_dataset,2023-01-22,12.0,6.0,1,, #Brunch #Friends                       ,30,,15,,,
Facebook,sentiment_dataset,2023-01-23,16.0,0.0,0,, #LanguageLearning #PersonalGrowth       ,50,,25,,,
Instagram,sentiment_dataset,2023-01-23,19.0,0.0,0,, #Reading #QuietTime                     ,30,,15,,,
Twitter,sentiment_dataset,2023-01-24,11.0,1.0,0,, #MentalHealth #SelfCare                 ,45,,22,,,
Facebook,sentiment_dataset,2023-01-24,15.0,1.0,0,, #Art #PaintingInProgress             ,25,,12,,,
Instagram,sentiment_dataset,2023-01-24,17.0,1.0,0,, #RoadTrip #ScenicViews                  ,35,,18,,,
Twitter,sentiment_dataset,2023-01-25,18.0,2.0,0,, #TeaTime #Sunset                       ,30,,15,,,
Facebook,sentiment_dataset,2023-01-25,13.0,2.0,0,, #Coding #Enthusiasm                   ,60,,30,,,
Instagram,sentiment_dataset,2023-01-26,9.0,3.0,0,, #Inspiration #Workshop                  ,50,,25,,,
Twitter,sentiment_dataset,2023-01-26,14.0,3.0,0,, #WinterSports #Fun                     ,30,,15,,,
Facebook,sentiment_dataset,2023-01-26,17.0,3.0,0,, #FamilyTime #Weekend                    ,45,,22,,,
Instagram,sentiment_dataset,2023-01-27,20.0,4.0,0,, #Music #ConcertNight                  ,35,,18,,,
Twitter,sentiment_dataset,2023-01-27,12.0,4.0,0,, #Mindfulness #Meditation               ,30,,15,,,
Facebook,sentiment_dataset,2023-01-27,16.0,4.0,0,, #Dessert #Cooking                      ,25,,12,,,
Instagram,sentiment_dataset,2023-01-28,9.0,5.0,1,, #Gaming #Tournament                     ,60,,30,,,
Twitter,sentiment_dataset,2023-01-28,14.0,5.0,1,, #Gardening #Spring                     ,50,,25,,,
Facebook,sentiment_dataset,2023-01-28,19.0,5.0,1,, #Birthday #Celebration                  ,30,,15,,,
Instagram,sentiment_dataset,2023-01-29,17.0,6.0,1,, #Accomplished #Success               ,45,,22,,,
Twitter,sentiment_dataset,2023-01-29,20.0,6.0,1,, #CozyNight #MovieTime                   ,35,,18,,,
Facebook,sentiment_dataset,2023-01-30,11.0,0.0,0,, #Art #GalleryExplore                    ,30,,15,,,
Instagram,sentiment_dataset,2023-01-30,15.0,0.0,0,, #BookRelease #FavoriteAuthor           ,25,,12,,,
Twitter,sentiment_dataset,2023-01-30,18.0,0.0,0,, #VRMeetup #VirtualReality               ,55,,28,,,
Facebook,sentiment_dataset,2023-01-31,10.0,1.0,0,, #Nature #Reflection                     ,30,,15,,,
Instagram,sentiment_dataset,2023-01-31,19.0,1.0,0,, #Cooking #SpecialDinner                ,40,,20,,,
Twitter,sentiment_dataset,2023-01-31,16.0,1.0,0,, #Optimism #NewWeek                     ,30,,15,,,
Facebook,sentiment_dataset,2023-02-01,8.0,2.0,0,, #FitnessChallenge #NewBeginnings       ,45,,22,,,
