platform,source,date,post_time,day_of_week,is_weekend,content_type,hashtags,likes,comments,shares,views,engagement_rate,engagement_level
Instagram,personal_export,2025-06-16,19,0,0,Video,#Seyahat #Gezi #Tatil,794,78,114,13662,7.22,Medium
Instagram,personal_export,2025-06-25,11,2,0,Image,#Food #Recipe #Yemektarifi,390,28,17,5327,8.17,High
Instagram,personal_export,2025-06-30,2,0,0,Video,#Foodie #Cooking #Lezzet,968,105,85,13064,8.86,High
Instagram,personal_export,2025-07-01,10,1,0,Video,#Fitness #Workout #Gym,806,80,57,13670,6.9,Medium
Instagram,personal_export,2025-07-06,11,6,1,Video,#Healthy #Food #Recipe,753,29,40,15901,5.17,Medium
Instagram,personal_export,2025-07-07,18,0,0,Video,#Foodie #Cooking #Lezzet,669,22,65,12822,5.9,Medium
Instagram,personal_export,2025-07-07,9,0,0,Image,#Food #Recipe #Yemektarifi,485,48,54,6607,8.88,High
Instagram,personal_export,2025-07-11,8,4,0,Video,#Foodie #Cooking #Lezzet,562,29,22,8562,7.16,Medium
Instagram,personal_export,2025-07-15,18,1,0,Image,#Yemek #Tarif #Mutfak,529,32,49,6524,9.35,High
Instagram,personal_export,2025-07-18,18,4,0,Image,#Healthy #Lifestyle #Fitness,313,16,14,5664,6.06,Medium
Instagram,personal_export,2025-07-26,21,5,1,Image,#Travel #Wanderlust #Adventure,520,57,21,6873,8.7,High
Instagram,personal_export,2025-07-29,20,1,0,Image,#Food #Recipe #Yemektarifi,482,52,39,8072,7.1,Medium
Instagram,personal_export,2025-08-02,14,5,1,Image,#Healthy #Lifestyle #Fitness,341,30,49,4145,10.13,High
Instagram,personal_export,2025-08-11,11,0,0,Image,#Food #Recipe #Yemektarifi,480,36,58,9327,6.15,Medium
Instagram,personal_export,2025-08-15,22,4,0,Video,#Fitness #Workout #Gym,477,41,59,8536,6.76,Medium
Instagram,personal_export,2025-09-22,11,0,0,Image,#Moda #Stil #Trend,368,20,18,5635,7.2,Medium
Instagram,personal_export,2025-09-25,13,3,0,Image,#Fashion #OOTD #Style,350,37,44,4146,10.4,High
Instagram,personal_export,2025-10-13,0,0,0,Image,#Yemek #Tarif #Mutfak,562,64,49,8238,8.19,High
Instagram,personal_export,2025-10-16,23,3,0,Video,#Foodie #Cooking #Lezzet,500,33,21,7473,7.41,Medium
Instagram,personal_export,2025-10-20,11,0,0,Image,#Food #Recipe #Yemektarifi,262,26,27,5032,6.26,Medium
Instagram,personal_export,2025-10-23,13,3,0,Video,#Foodie #Cooking #Lezzet,505,26,64,10286,5.78,Medium
Instagram,personal_export,2025-10-28,20,1,0,Image,#Yemek #Tarif #Mutfak,425,26,60,4873,10.49,High
Instagram,personal_export,2025-11-05,20,2,0,Video,#Healthy #Food #Recipe,1028,89,85,20121,5.97,Medium
Instagram,personal_export,2025-11-09,23,6,1,Image,#Food #Recipe #Yemektarifi,707,36,65,8576,9.42,High
Instagram,personal_export,2025-11-18,7,1,0,Image,#Yemek #Tarif #Mutfak,485,48,40,5586,10.26,High
Instagram,personal_export,2025-11-20,8,3,0,Video,#Yoga #Pilates #Spor,844,100,95,11560,8.99,High
Instagram,personal_export,2025-11-21,19,4,0,Video,#Healthy #Food #Recipe,3358,259,495,35625,11.54,High
Instagram,personal_export,2025-11-26,16,2,0,Video,#Seyahat #Gezi #Tatil,681,73,48,14944,5.37,Medium
Instagram,personal_export,2025-11-28,10,4,0,Image,#Travel #Wanderlust #Adventure,425,34,33,9088,5.41,Medium
Instagram,personal_export,2025-12-04,18,3,0,Image,#Food #Recipe #Yemektarifi,581,37,73,5923,11.67,High
Instagram,personal_export,2025-12-07,18,6,1,Image,#Healthy #Lifestyle #Fitness,401,25,51,8059,5.92,Medium
Instagram,personal_export,2025-12-15,10,0,0,Video,#Fitness #Workout #Gym,755,38,95,10643,8.34,High
Instagram,personal_export,2025-12-15,21,0,0,Image,#Moda #Stil #Trend,183,11,15,2357,8.87,High
Instagram,personal_export,2025-12-19,7,4,0,Image,#Healthy #Lifestyle #Fitness,320,12,17,6710,5.2,Medium
Instagram,personal_export,2025-12-25,19,3,0,Video,#Foodie #Cooking #Lezzet,1118,44,118,21182,6.04,Medium
Instagram,personal_export,2026-01-13,9,1,0,Image,#Yemek #Tarif #Mutfak,488,39,40,10640,5.33,Medium
Instagram,personal_export,2026-01-14,7,2,0,Image,#Food #Recipe #Yemektarifi,565,30,33,11643,5.39,Medium
Instagram,personal_export,2026-01-21,22,2,0,Video,#Foodie #Cooking #Lezzet,780,34,70,8645,10.23,High
Instagram,personal_export,2026-01-28,12,2,0,Video,#Seyahat #Gezi #Tatil,2707,86,346,49320,6.36,Medium
Instagram,personal_export,2026-01-31,21,5,1,Image,#Food #Recipe #Yemektarifi,898,80,65,17504,5.96,Medium
Instagram,personal_export,2026-02-11,18,2,0,Image,#Yemek #Tarif #Mutfak,350,31,51,6263,6.9,Medium
Instagram,personal_export,2026-02-13,7,4,0,Image,#Food #Recipe #Yemektarifi,572,58,43,6394,10.53,High
Instagram,personal_export,2026-02-14,13,5,1,Video,#Yoga #Pilates #Spor,642,38,51,13675,5.35,Medium
Instagram,personal_export,2026-02-17,9,1,0,Video,#Healthy #Food #Recipe,745,76,55,11010,7.96,Medium
Instagram,personal_export,2026-02-17,11,1,0,Image,#Healthy #Lifestyle #Fitness,1430,149,193,20143,8.8,High
Instagram,personal_export,2026-02-26,21,3,0,Image,#Moda #Stil #Trend,1371,115,201,19359,8.71,High
Instagram,personal_export,2026-03-03,2,1,0,Image,#Yemek #Tarif #Mutfak,526,54,73,9413,6.94,Medium
Instagram,personal_export,2026-03-04,10,2,0,Image,#Healthy #Lifestyle #Fitness,373,31,49,6060,7.48,Medium
Instagram,personal_export,2026-03-06,7,4,0,Image,#Travel #Wanderlust #Adventure,300,20,36,4637,7.68,Medium
Instagram,personal_export,2026-03-09,12,0,0,Image,#Food #Recipe #Yemektarifi,427,26,22,7991,5.94,Medium
Instagram,personal_export,2026-03-16,13,0,0,Image,#Food #Recipe #Yemektarifi,439,14,33,9424,5.16,Medium
Instagram,personal_export,2026-03-20,10,4,0,Image,#Fashion #OOTD #Style,248,15,26,4999,5.78,Medium
Instagram,personal_export,2026-03-20,8,4,0,Video,#Healthy #Food #Recipe,353,34,49,6378,6.84,Medium
Instagram,personal_export,2026-03-23,7,0,0,Video,#Fitness #Workout #Gym,1071,125,90,19942,6.45,Medium
Instagram,personal_export,2026-03-29,12,6,1,Image,#Food #Recipe #Yemektarifi,409,47,56,6146,8.33,High
Instagram,personal_export,2026-04-02,12,3,0,Video,#Foodie #Cooking #Lezzet,518,25,39,7655,7.6,Medium
Instagram,personal_export,2026-04-05,21,6,1,Image,#Yemek #Tarif #Mutfak,561,26,23,10054,6.07,Medium
Instagram,personal_export,2026-04-16,13,3,0,Image,#Food #Recipe #Yemektarifi,212,8,9,3817,6.0,Medium
Instagram,personal_export,2026-04-18,12,5,1,Video,#Foodie #Cooking #Lezzet,650,73,83,10666,7.56,Medium
Instagram,personal_export,2026-04-19,11,6,1,Image,#Fashion #OOTD #Style,252,25,24,2528,11.91,High
Instagram,personal_export,2026-04-20,12,0,0,Video,#Foodie #Cooking #Lezzet,970,63,50,16375,6.61,Medium
Instagram,personal_export,2026-04-25,1,5,1,Video,#Foodie #Cooking #Lezzet,788,38,112,8879,10.56,High
Instagram,personal_export,2026-05-02,9,5,1,Video,#Fitness #Workout #Gym,1294,86,123,25736,5.84,Medium
Instagram,personal_export,2026-05-05,13,1,0,Image,#Travel #Wanderlust #Adventure,273,16,13,4149,7.28,Medium
Instagram,personal_export,2026-05-06,19,2,0,Image,#Food #Recipe #Yemektarifi,435,29,40,7761,6.49,Medium
Instagram,personal_export,2026-05-26,0,1,0,Image,#Food #Recipe #Yemektarifi,347,34,44,3711,11.45,High
Instagram,personal_export,2026-05-28,6,3,0,Video,#Yoga #Pilates #Spor,673,70,73,12852,6.35,Medium
Instagram,personal_export,2026-06-03,3,2,0,Video,#Fitness #Workout #Gym,784,70,67,11214,8.21,High
Instagram,personal_export,2026-06-11,11,3,0,Video,#Healthy #Food #Recipe,612,47,68,10157,7.16,Medium
Instagram,personal_export,2026-06-14,15,6,1,Image,#Fashion #OOTD #Style,268,28,13,2817,10.97,High
